First point of data acquisition:
2024-07-30, 10:35:03
Sample n. 1, Potential measurament V. 
Ch1 V, Ch2 V, Time
-0.305,-0.008,2024-07-30 10:35:08
-0.331,-0.007,2024-07-30 10:35:09
-0.430,-0.004,2024-07-30 10:35:09
-0.404,-0.003,2024-07-30 10:35:10
-0.170,-0.004,2024-07-30 10:35:10
-0.127,-0.002,2024-07-30 10:35:11
-0.602,-0.001,2024-07-30 10:35:11
-0.609,0.002,2024-07-30 10:35:12
-0.645,0.001,2024-07-30 10:35:12
-0.632,0.007,2024-07-30 10:35:13
-0.690,0.004,2024-07-30 10:35:13
-0.687,0.003,2024-07-30 10:35:14
-0.459,-0.003,2024-07-30 10:35:14
-0.229,-0.002,2024-07-30 10:35:15
-0.556,-0.007,2024-07-30 10:35:15
-0.422,-0.004,2024-07-30 10:35:16
-0.571,-0.004,2024-07-30 10:35:16
-0.431,-0.004,2024-07-30 10:35:17
-0.540,-0.003,2024-07-30 10:35:17
-0.742,0.004,2024-07-30 10:52:38
-0.739,0.003,2024-07-30 10:52:38
-0.737,0.003,2024-07-30 10:52:39
-0.734,0.003,2024-07-30 10:52:39
-0.731,0.003,2024-07-30 10:52:40
-0.729,0.003,2024-07-30 10:52:40
-0.729,0.003,2024-07-30 10:52:41
-0.730,-0.002,2024-07-30 10:52:41
-0.728,-0.002,2024-07-30 10:52:42
-0.727,-0.002,2024-07-30 10:52:42
-0.723,-0.002,2024-07-30 10:52:43
-0.722,-0.002,2024-07-30 10:52:43
-0.720,-0.003,2024-07-30 10:52:44
-0.723,-0.001,2024-07-30 10:52:44
-0.716,0.003,2024-07-30 10:52:45
-0.717,0.003,2024-07-30 10:52:45
-0.717,0.002,2024-07-30 10:52:46
-0.711,0.003,2024-07-30 10:52:46
-0.712,0.003,2024-07-30 10:52:47
-0.743,-0.001,2024-07-30 11:10:07
-0.742,-0.001,2024-07-30 11:10:07
-0.739,-0.001,2024-07-30 11:10:08
-0.742,-0.024,2024-07-30 11:10:08
-0.736,0.006,2024-07-30 11:10:09
-0.734,0.004,2024-07-30 11:10:09
-0.732,0.004,2024-07-30 11:10:10
-0.728,-0.002,2024-07-30 11:10:10
-0.727,-0.002,2024-07-30 11:10:11
-0.711,-0.004,2024-07-30 11:10:11
-0.113,0.002,2024-07-30 11:10:12
-0.206,-0.007,2024-07-30 11:10:12
-0.179,-0.012,2024-07-30 11:10:13
-0.658,0.013,2024-07-30 11:10:13
-0.574,0.002,2024-07-30 11:10:14
-0.674,0.005,2024-07-30 11:10:14
-0.627,0.002,2024-07-30 11:10:15
-0.675,0.004,2024-07-30 11:10:15
-0.623,0.003,2024-07-30 11:10:16
-0.743,0.004,2024-07-30 11:27:36
-0.743,0.004,2024-07-30 11:27:37
-0.739,0.006,2024-07-30 11:27:37
-0.736,0.004,2024-07-30 11:27:38
-0.736,0.004,2024-07-30 11:27:38
-0.734,0.006,2024-07-30 11:27:39
-0.732,0.003,2024-07-30 11:27:39
-0.727,0.004,2024-07-30 11:27:40
-0.727,0.025,2024-07-30 11:27:40
-0.724,0.027,2024-07-30 11:27:41
-0.722,0.023,2024-07-30 11:27:41
-0.722,0.004,2024-07-30 11:27:42
-0.720,0.003,2024-07-30 11:27:42
-0.721,-0.002,2024-07-30 11:27:43
-0.722,-0.002,2024-07-30 11:27:43
-0.718,-0.002,2024-07-30 11:27:44
-0.717,-0.002,2024-07-30 11:27:44
-0.716,-0.002,2024-07-30 11:27:45
-0.718,-0.001,2024-07-30 11:27:45
-0.738,0.002,2024-07-30 11:45:06
-0.740,0.004,2024-07-30 11:45:07
-0.737,0.004,2024-07-30 11:45:07
-0.734,0.003,2024-07-30 11:45:08
-0.733,0.004,2024-07-30 11:45:08
-0.730,0.013,2024-07-30 11:45:09
-0.730,-0.008,2024-07-30 11:45:09
-0.727,-0.002,2024-07-30 11:45:10
-0.725,-0.003,2024-07-30 11:45:10
-0.726,0.001,2024-07-30 11:45:11
-0.725,0.003,2024-07-30 11:45:11
-0.725,0.004,2024-07-30 11:45:12
-0.734,0.004,2024-07-30 11:45:12
-0.607,0.004,2024-07-30 11:45:13
-0.573,0.002,2024-07-30 11:45:13
-0.615,0.005,2024-07-30 11:45:14
-0.660,0.012,2024-07-30 11:45:14
-0.575,0.002,2024-07-30 11:45:15
-0.220,0.001,2024-07-30 11:45:15
-0.747,0.003,2024-07-30 12:02:36
-0.742,0.003,2024-07-30 12:02:36
-0.740,0.004,2024-07-30 12:02:37
