First point of data acquisition:
2024-07-30, 10:35:03
Sample n. 1, Potential measurament V. 
-0.739,0.003,2024-07-30 12:02:37
-0.735,0.003,2024-07-30 12:02:38
-0.734,0.006,2024-07-30 12:02:38
-0.738,0.004,2024-07-30 12:02:39
-0.731,0.005,2024-07-30 12:02:39
-0.726,-0.001,2024-07-30 12:02:40
-0.725,0.021,2024-07-30 12:02:40
-0.723,0.035,2024-07-30 12:02:41
-0.721,0.002,2024-07-30 12:02:41
-0.721,0.003,2024-07-30 12:02:42
-0.718,0.003,2024-07-30 12:02:42
-0.717,0.003,2024-07-30 12:02:43
-0.720,-0.002,2024-07-30 12:02:43
-0.719,-0.002,2024-07-30 12:02:44
-0.718,-0.002,2024-07-30 12:02:44
-0.716,-0.003,2024-07-30 12:02:45
-0.740,0.003,2024-07-30 12:20:06
-0.741,0.003,2024-07-30 12:20:06
-0.739,0.004,2024-07-30 12:20:07
-0.735,0.004,2024-07-30 12:20:07
-0.733,0.003,2024-07-30 12:20:08
-0.733,0.004,2024-07-30 12:20:08
-0.730,0.032,2024-07-30 12:20:09
-0.731,0.005,2024-07-30 12:20:09
-0.730,0.004,2024-07-30 12:20:10
-0.724,-0.000,2024-07-30 12:20:10
-0.723,-0.002,2024-07-30 12:20:11
-0.722,-0.004,2024-07-30 12:20:11
-0.721,-0.007,2024-07-30 12:20:12
-0.720,-0.004,2024-07-30 12:20:12
-0.720,-0.000,2024-07-30 12:20:13
-0.720,-0.007,2024-07-30 12:20:13
-0.732,0.004,2024-07-30 12:20:14
-0.533,0.003,2024-07-30 12:20:14
-0.560,0.003,2024-07-30 12:20:15
-0.746,-0.008,2024-07-30 12:37:35
-0.738,0.004,2024-07-30 12:37:35
-0.738,0.003,2024-07-30 12:37:36
-0.734,0.004,2024-07-30 12:37:36
-0.734,0.002,2024-07-30 12:37:37
-0.736,0.004,2024-07-30 12:37:37
-0.723,0.003,2024-07-30 12:37:38
-0.720,0.006,2024-07-30 12:37:38
-0.615,-0.001,2024-07-30 12:37:39
-0.369,-0.003,2024-07-30 12:37:39
-0.293,-0.002,2024-07-30 12:37:40
-0.201,-0.009,2024-07-30 12:37:40
-0.238,-0.004,2024-07-30 12:37:41
-0.183,0.001,2024-07-30 12:37:41
-0.135,0.005,2024-07-30 12:37:42
-0.149,0.002,2024-07-30 12:37:42
-0.556,0.003,2024-07-30 12:37:43
-0.719,0.005,2024-07-30 12:37:43
-0.719,0.004,2024-07-30 12:37:44
-0.745,-0.001,2024-07-30 12:55:04
-0.740,-0.002,2024-07-30 12:55:05
-0.731,-0.001,2024-07-30 12:55:05
-0.704,-0.005,2024-07-30 12:55:06
-0.625,-0.003,2024-07-30 12:55:06
-0.609,-0.005,2024-07-30 12:55:07
-0.593,-0.001,2024-07-30 12:55:07
-0.591,-0.004,2024-07-30 12:55:08
-0.673,0.005,2024-07-30 12:55:08
-0.673,0.004,2024-07-30 12:55:09
-0.655,0.005,2024-07-30 12:55:09
-0.624,0.005,2024-07-30 12:55:10
-0.592,0.006,2024-07-30 12:55:10
-0.349,-0.004,2024-07-30 12:55:11
-0.669,0.004,2024-07-30 12:55:11
-0.596,0.002,2024-07-30 12:55:12
-0.232,-0.008,2024-07-30 12:55:12
-0.132,0.003,2024-07-30 12:55:13
-0.202,-0.006,2024-07-30 12:55:13
-0.741,-0.004,2024-07-30 13:12:33
-0.740,-0.004,2024-07-30 13:12:34
-0.735,-0.001,2024-07-30 13:12:34
-0.736,-0.002,2024-07-30 13:12:35
-0.736,-0.001,2024-07-30 13:12:35
-0.734,-0.003,2024-07-30 13:12:36
-0.732,-0.003,2024-07-30 13:12:36
-0.730,0.003,2024-07-30 13:12:37
-0.726,0.003,2024-07-30 13:12:37
-0.724,0.003,2024-07-30 13:12:38
-0.721,0.003,2024-07-30 13:12:38
-0.722,0.003,2024-07-30 13:12:39
-0.720,0.004,2024-07-30 13:12:39
-0.720,0.004,2024-07-30 13:12:40
-0.720,-0.003,2024-07-30 13:12:40
-0.718,-0.005,2024-07-30 13:12:41
-0.714,-0.001,2024-07-30 13:12:41
-0.715,-0.002,2024-07-30 13:12:42
-0.714,-0.001,2024-07-30 13:12:42
-0.733,0.002,2024-07-30 13:30:02
-0.728,0.004,2024-07-30 13:30:03
-0.733,0.003,2024-07-30 13:30:03
-0.729,0.005,2024-07-30 13:30:04
-0.732,0.002,2024-07-30 13:30:04
-0.731,0.006,2024-07-30 13:30:05
-0.728,0.006,2024-07-30 13:30:05
-0.725,0.004,2024-07-30 13:30:06
-0.727,0.004,2024-07-30 13:30:06
-0.726,-0.001,2024-07-30 13:30:07
-0.726,-0.002,2024-07-30 13:30:07
-0.723,-0.002,2024-07-30 13:30:08
-0.724,-0.002,2024-07-30 13:30:08
-0.724,-0.002,2024-07-30 13:30:09
-0.726,-0.002,2024-07-30 13:30:09
-0.723,-0.004,2024-07-30 13:30:10
-0.719,-0.001,2024-07-30 13:30:10
-0.720,0.003,2024-07-30 13:30:11
-0.713,0.003,2024-07-30 13:30:11
-0.746,0.005,2024-07-30 13:47:32
-0.742,0.003,2024-07-30 13:47:32
-0.738,0.004,2024-07-30 13:47:33
-0.734,0.003,2024-07-30 13:47:33
-0.733,0.002,2024-07-30 13:47:34
-0.724,0.004,2024-07-30 13:47:34
-0.717,0.005,2024-07-30 13:47:35
-0.720,0.004,2024-07-30 13:47:35
-0.546,-0.004,2024-07-30 13:47:36
-0.505,0.000,2024-07-30 13:47:36
-0.302,0.005,2024-07-30 13:47:37
-0.150,-0.002,2024-07-30 13:47:37
-0.421,-0.004,2024-07-30 13:47:38
-0.236,-0.003,2024-07-30 13:47:38
-0.300,-0.011,2024-07-30 13:47:39
-0.638,0.005,2024-07-30 13:47:39
-0.718,0.004,2024-07-30 13:47:40
-0.717,0.005,2024-07-30 13:47:40
-0.718,0.004,2024-07-30 13:47:41
